file_path,label
Test_Frames_Grayscale\Without_CHDs\0X1A05DFFFCAFB253B\frame_0.jpg,0
Test_Frames_Grayscale\Without_CHDs\0X1A05DFFFCAFB253B\frame_1.jpg,0
Test_Frames_Grayscale\Without_CHDs\0X1A05DFFFCAFB253B\frame_10.jpg,0
Test_Frames_Grayscale\Without_CHDs\0X1A05DFFFCAFB253B\frame_100.jpg,0
Test_Frames_Grayscale\Without_CHDs\0X1A05DFFFCAFB253B\frame_101.jpg,0
Test_Frames_Grayscale\Without_CHDs\0X1A05DFFFCAFB253B\frame_102.jpg,0
Test_Frames_Grayscale\Without_CHDs\0X1A05DFFFCAFB253B\frame_103.jpg,0
Test_Frames_Grayscale\Without_CHDs\0X1A05DFFFCAFB253B\frame_104.jpg,0
Test_Frames_Grayscale\Without_CHDs\0X1A05DFFFCAFB253B\frame_105.jpg,0
Test_Frames_Grayscale\Without_CHDs\0X1A05DFFFCAFB253B\frame_106.jpg,0
Test_Frames_Grayscale\Without_CHDs\0X1A05DFFFCAFB253B\frame_107.jpg,0
Test_Frames_Grayscale\Without_CHDs\0X1A05DFFFCAFB253B\frame_108.jpg,0
Test_Frames_Grayscale\Without_CHDs\0X1A05DFFFCAFB253B\frame_109.jpg,0
Test_Frames_Grayscale\Without_CHDs\0X1A05DFFFCAFB253B\frame_11.jpg,0
Test_Frames_Grayscale\Without_CHDs\0X1A05DFFFCAFB253B\frame_110.jpg,0
Test_Frames_Grayscale\Without_CHDs\0X1A05DFFFCAFB253B\frame_111.jpg,0
Test_Frames_Grayscale\Without_CHDs\0X1A05DFFFCAFB253B\frame_112.jpg,0
Test_Frames_Grayscale\Without_CHDs\0X1A05DFFFCAFB253B\frame_113.jpg,0
Test_Frames_Grayscale\Without_CHDs\0X1A05DFFFCAFB253B\frame_114.jpg,0
Test_Frames_Grayscale\Without_CHDs\0X1A05DFFFCAFB253B\frame_115.jpg,0
Test_Frames_Grayscale\Without_CHDs\0X1A05DFFFCAFB253B\frame_116.jpg,0
Test_Frames_Grayscale\Without_CHDs\0X1A05DFFFCAFB253B\frame_117.jpg,0
Test_Frames_Grayscale\Without_CHDs\0X1A05DFFFCAFB253B\frame_118.jpg,0
Test_Frames_Grayscale\Without_CHDs\0X1A05DFFFCAFB253B\frame_119.jpg,0
Test_Frames_Grayscale\Without_CHDs\0X1A05DFFFCAFB253B\frame_12.jpg,0
Test_Frames_Grayscale\Without_CHDs\0X1A05DFFFCAFB253B\frame_120.jpg,0
Test_Frames_Grayscale\Without_CHDs\0X1A05DFFFCAFB253B\frame_121.jpg,0
Test_Frames_Grayscale\Without_CHDs\0X1A05DFFFCAFB253B\frame_122.jpg,0
Test_Frames_Grayscale\Without_CHDs\0X1A05DFFFCAFB253B\frame_123.jpg,0
Test_Frames_Grayscale\Without_CHDs\0X1A05DFFFCAFB253B\frame_124.jpg,0
Test_Frames_Grayscale\Without_CHDs\0X1A05DFFFCAFB253B\frame_125.jpg,0
Test_Frames_Grayscale\Without_CHDs\0X1A05DFFFCAFB253B\frame_126.jpg,0
Test_Frames_Grayscale\Without_CHDs\0X1A05DFFFCAFB253B\frame_127.jpg,0
Test_Frames_Grayscale\Without_CHDs\0X1A05DFFFCAFB253B\frame_128.jpg,0
Test_Frames_Grayscale\Without_CHDs\0X1A05DFFFCAFB253B\frame_129.jpg,0
Test_Frames_Grayscale\Without_CHDs\0X1A05DFFFCAFB253B\frame_13.jpg,0
